Gene Symbol	Annotation ID	Synonyms	Gene Description	Species	RNA-binding Domains	Number of experiments	Homologs
SPEN	ENSG00000065526	KIAA0929; MINT; SHARP; RBM15C	"spen homolog, transcriptional regulator (Drosophila) [Source:HGNC Symbol;Acc:17575]"	Homo sapiens	RRMx4	0	3
SR140	ENSG00000163714		U2-associated protein SR140 (140 kDa Ser/Arg-rich domain protein) [Source:UniProtKB/Swiss-Prot;Acc:O15042]	Homo sapiens	RRMx1; Surpx1	0	3
SRBD1	ENSG00000068784	FLJ10379	S1 RNA binding domain 1 [Source:HGNC Symbol;Acc:25521]	Homo sapiens	S1x1	0	3
SRRM1	ENSG00000133226	SRM160; POP101; MGC39488	serine/arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:16638]	Homo sapiens	PWIx1	1	2
SRRM2	ENSG00000167978		serine/arginine repetitive matrix 2 [Source:HGNC Symbol;Acc:16639]	Homo sapiens		0	2
SRRT	ENSG00000087087	Asr2; serrate; ARS2	serrate RNA effector molecule homolog (Arabidopsis) [Source:HGNC Symbol;Acc:24101]	Homo sapiens	RRMx1	0	1
SSB	ENSG00000138385	LARP3; La	Sjogren syndrome antigen B (autoantigen La) [Source:HGNC Symbol;Acc:11316]	Homo sapiens	RRMx2; Lax1	15	3
SUPT6H	ENSG00000109111	KIAA0162; SPT6H	suppressor of Ty 6 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11470]	Homo sapiens	S1x1	0	3
SYNCRIP	ENSG00000135316	NSAP1; GRY-RBP; dJ3J17.2; HNRPQ1; hnRNP-Q	"synaptotagmin binding, cytoplasmic RNA interacting protein [Source:HGNC Symbol;Acc:16918]"	Homo sapiens	RRMx3	1	5
SYNJ1	ENSG00000159082	INPP5G	synaptojanin 1 [Source:HGNC Symbol;Acc:11503]	Homo sapiens	RRMx1	0	2
SYNJ2	ENSG00000078269	INPP5H	synaptojanin 2 [Source:HGNC Symbol;Acc:11504]	Homo sapiens	RRMx1	0	2
TAF15	ENSG00000172660	hTAFII68; RBP56; Npl3	"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa [Source:HGNC Symbol;Acc:11547]"	Homo sapiens	RRMx1; Znf_RanBP2x1	0	7
TARDBP	ENSG00000120948	TDP-43; ALS10	TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]	Homo sapiens	RRMx2	11	4
TDRD10	ENSG00000163239	DKFZp434M202	tudor domain containing 10 [Source:HGNC Symbol;Acc:25316]	Homo sapiens	RRMx1	0	0
TDRKH	ENSG00000182134	TDRD2	tudor and KH domain containing [Source:HGNC Symbol;Acc:11713]	Homo sapiens	KHx2	0	2
TEP1	ENSG00000129566	p240; TLP1; TP1; TROVE1; VAULT2	telomerase-associated protein 1 [Source:HGNC Symbol;Acc:11726]	Homo sapiens	TROVEx1	0	0
THOC4	ENSG00000183684	ALY; BEF	THO complex 4 [Source:HGNC Symbol;Acc:19071]	Homo sapiens	RRMx1	1	4
THUMPD1	ENSG00000066654	FLJ20274	THUMP domain containing 1 [Source:HGNC Symbol;Acc:23807]	Homo sapiens	THUMPx1	0	3
THUMPD2	ENSG00000138050	MGC2454	THUMP domain containing 2 [Source:HGNC Symbol;Acc:14890]	Homo sapiens	THUMPx1	0	1
THUMPD3	ENSG00000134077	DKFZP434F091	THUMP domain containing 3 [Source:HGNC Symbol;Acc:24493]	Homo sapiens	THUMPx1	0	2
TIA1	ENSG00000116001		TIA1 cytotoxic granule-associated RNA binding protein [Source:HGNC Symbol;Acc:11802]	Homo sapiens	RRMx3	13	6
TIAL1	ENSG00000151923	TIAR	TIA1 cytotoxic granule-associated RNA binding protein-like 1 [Source:HGNC Symbol;Acc:11804]	Homo sapiens	RRMx3	13	6
TIPARP	ENSG00000163659	DKFZP434J214; DKFZp686N0351; DDF1; PARP7; PARP-7; PARP-1; pART14; RM1	TCDD-inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:23696]	Homo sapiens	Znf_CCCHx1	0	1
TLR2	ENSG00000137462	TIL4; CD282	toll-like receptor 2 [Source:HGNC Symbol;Acc:11848]	Homo sapiens	Lax1	0	0
TMEM63A	ENSG00000196187		transmembrane protein 63A [Source:HGNC Symbol;Acc:29118]	Homo sapiens	RRMx1	0	1
TNRC4	ENSG00000159409		trinucleotide repeat containing 4 [Source:HGNC Symbol;Acc:11967]	Homo sapiens	RRMx3	0	9
TNRC6A	ENSG00000090905	CAGH26; KIAA1460; GW182	trinucleotide repeat containing 6A [Source:HGNC Symbol;Acc:11969]	Homo sapiens	RRMx1	3	3
TOE1	ENSG00000132773		"target of EGR1, member 1 (nuclear) [Source:HGNC Symbol;Acc:15954]"	Homo sapiens	Znf_CCCHx1	0	1
TRA2A	ENSG00000164548	htra-2-alpha; tra2a	transformer 2 alpha homolog (Drosophila) [Source:HGNC Symbol;Acc:16645]	Homo sapiens	RRMx1	1	5
TRA2B	ENSG00000136527	Htra2-beta	transformer 2 beta homolog (Drosophila) [Source:HGNC Symbol;Acc:10781]	Homo sapiens	RRMx1	6	5
TRMT1	ENSG00000104907	FLJ20244	TRM1 tRNA methyltransferase 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25980]	Homo sapiens	Znf_CCCHx1	0	1
TRMT2A	ENSG00000099899	HTF9C	TRM2 tRNA methyltransferase 2 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:24974]	Homo sapiens	RRMx1	0	3
TRNAU1AP	ENSG00000180098	SECP43; FLJ20503	tRNA selenocysteine 1 associated protein 1 [Source:HGNC Symbol;Acc:30813]	Homo sapiens	RRMx2	0	2
TROVE2	ENSG00000116747	RO60; SSA2; RORNP;	"TROVE domain family, member 2 [Source:HGNC Symbol;Acc:11313]"	Homo sapiens	TROVEx1	0	0
TTC14	ENSG00000163728	FLJ00166; KIAA1980	tetratricopeptide repeat domain 14 [Source:HGNC Symbol;Acc:24697]	Homo sapiens	S1x1	0	1
TUT1	ENSG00000149016	FLJ22347; FLJ22267; FLJ21850; PAPD2; TUTase	"terminal uridylyl transferase 1, U6 snRNA-specific [Source:HGNC Symbol;Acc:26184]"	Homo sapiens	RRMx1; Znf_CCCHx1	1	0
U2AF1	ENSG00000160201	U2AF35; RNU2AF1; RN	U2 small nuclear RNA auxiliary factor 1 [Source:HGNC Symbol;Acc:12453]	Homo sapiens	RRMx1; Znf_CCCHx1	1	3
U2AF1L4	ENSG00000161265	MGC33901; U2af26	U2 small nuclear RNA auxiliary factor 1-like 4 [Source:HGNC Symbol;Acc:23020]	Homo sapiens	RRMx1; Znf_CCCHx1	0	0
U2AF2	ENSG00000063244	U2AF65	U2 small nuclear RNA auxiliary factor 2 [Source:HGNC Symbol;Acc:23156]	Homo sapiens	RRMx3	18	3
UHMK1	ENSG00000152332	KIS; Kist	U2AF homology motif (UHM) kinase 1 [Source:HGNC Symbol;Acc:19683]	Homo sapiens	RRMx1	0	1
UNK	ENSG00000132478	KIAA1753	unkempt homolog (Drosophila) [Source:HGNC Symbol;Acc:29369]	Homo sapiens	Znf_CCCHx5	0	3
UNKL	ENSG00000242204	ZC3HDC5L; ZC3H5L; FLJ23360	unkempt homolog (Drosophila)-like [Source:HGNC Symbol;Acc:14184]	Homo sapiens	Znf_CCCHx3	0	0
UPF1	ENSG00000005007		UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:9962]	Homo sapiens		0	2
UPF3B	ENSG00000125351	RENT3B; UPF3X; HUPF3B	UPF3 regulator of nonsense transcripts homolog B (yeast) [Source:HGNC Symbol;Acc:20439]	Homo sapiens	RRMx1	0	1
YBX1	ENSG00000065978	YB-1; YB1; DBPB; NSEP-1; MDR-NF1; BP-8; CSDB; CSDA2	Y box binding protein 1 [Source:HGNC Symbol;Acc:8014]	Homo sapiens	CSDx1	13	8
YBX2	ENSG00000006047	MSY2; CSDA3	Y box binding protein 2 [Source:HGNC Symbol;Acc:17948]	Homo sapiens	CSDx1	0	8
YTHDC1	ENSG00000083896	YT521; KIAA1966; YT521-B	YTH domain containing 1 [Source:HGNC Symbol;Acc:30626]	Homo sapiens	YTHx1	2	2
YTHDC2	ENSG00000047188	FLJ2194; FLJ10053; DKFZp564A186	YTH domain containing 2 [Source:HGNC Symbol;Acc:24721]	Homo sapiens	YTHx1	0	1
YTHDF1	ENSG00000149658	FLJ20391	"YTH domain family, member 1 [Source:HGNC Symbol;Acc:15867]"	Homo sapiens	YTHx1	0	4
YTHDF2	ENSG00000198492	HGRG8; NY-REN-2	"YTH domain family, member 2 [Source:HGNC Symbol;Acc:31675]"	Homo sapiens	YTHx1	0	4
YTHDF3	ENSG00000185728	FLJ31657	"YTH domain family, member 3 [Source:HGNC Symbol;Acc:26465]"	Homo sapiens	YTHx1	0	4
ZC3H10	ENSG00000135482	FLJ14451	zinc finger CCCH-type containing 10 [Source:HGNC Symbol;Acc:25893]	Homo sapiens	Znf_CCCHx3	0	2
ZC3H11A	ENSG00000058673	KIAA0663	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:29093]	Homo sapiens	Znf_CCCHx3	0	1
ZC3H12A	ENSG00000163874	FLJ23231; MCPIP1	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:26259]	Homo sapiens	Znf_CCCHx1	0	6
ZC3H12B	ENSG00000102053	MCPIP2	zinc finger CCCH-type containing 12B [Source:HGNC Symbol;Acc:17407]	Homo sapiens	Znf_CCCHx1	0	6
ZC3H12C	ENSG00000149289	KIAA1726; MCPIP3	zinc finger CCCH-type containing 12C [Source:HGNC Symbol;Acc:29362]	Homo sapiens	Znf_CCCHx1	0	6
ZC3H12D	ENSG00000178199	dJ281H8.1; MCPIP4	zinc finger CCCH-type containing 12D [Source:HGNC Symbol;Acc:21175]	Homo sapiens	Znf_CCCHx1	0	1
ZC3H13	ENSG00000123200	DKFZp434D1812	zinc finger CCCH-type containing 13 [Source:HGNC Symbol;Acc:20368]	Homo sapiens	Znf_CCCHx1	0	1
ZC3H14	ENSG00000100722	FLJ11806; UKp68; NY-REN-37	zinc finger CCCH-type containing 14 [Source:HGNC Symbol;Acc:20509]	Homo sapiens	Znf_CCCHx2	1	3
ZC3H15	ENSG00000065548	LEREPO4	zinc finger CCCH-type containing 15 [Source:HGNC Symbol;Acc:29528]	Homo sapiens	Znf_CCCHx2	0	3
ZC3H18	ENSG00000158545	NHN1	zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:25091]	Homo sapiens	Znf_CCCHx1	0	2
ZC3H3	ENSG00000014164	KIAA0150	zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:28972]	Homo sapiens	Znf_CCCHx1	0	2
ZC3H4	ENSG00000130749	KIAA1064	zinc finger CCCH-type containing 4 [Source:HGNC Symbol;Acc:17808]	Homo sapiens	Znf_CCCHx2	0	5
ZC3H6	ENSG00000188177	FLJ41410; FLJ45877; KIAA2035	zinc finger CCCH-type containing 6 [Source:HGNC Symbol;Acc:24762]	Homo sapiens	Znf_CCCHx2	0	5
ZC3H7A	ENSG00000122299	HSPC055; FLJ20318	zinc finger CCCH-type containing 7A [Source:HGNC Symbol;Acc:30959]	Homo sapiens	Znf_CCCHx5	0	1
ZC3H7B	ENSG00000100403	RoXaN; FLJ13787; DKFZp434K0920; KIAA1031	zinc finger CCCH-type containing 7B [Source:HGNC Symbol;Acc:30869]	Homo sapiens	Znf_CCCHx5	1	1
ZC3H8	ENSG00000144161	Fliz1	zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:30941]	Homo sapiens	Znf_CCCHx3	0	1
ZC3HAV1	ENSG00000105939	ZAP; FLB6421; FLJ13288; MGC48898; ZC3HDC2; ZC3H2; PARP13	"zinc finger CCCH-type, antiviral 1 [Source:HGNC Symbol;Acc:23721]"	Homo sapiens	Znf_CCCHx2	0	0
ZC3HAV1L	ENSG00000146858	MGC14289	"zinc finger CCCH-type, antiviral 1-like [Source:HGNC Symbol;Acc:22423]"	Homo sapiens	Znf_CCCHx1	0	1
ZCCHC17	ENSG00000121766	PS1D; HSPC251; pNO40	"zinc finger, CCHC domain containing 17 [Source:HGNC Symbol;Acc:30246]"	Homo sapiens	S1x1; Znf_CCHCx1	0	1
ZCRB1	ENSG00000139168	MADP-1; MADP1; RBM36; ZCCHC19	zinc finger CCHC-type and RNA binding motif 1 [Source:HGNC Symbol;Acc:29620]	Homo sapiens	RRMx1; Znf_CCHCx1	0	1
ZFP36	ENSG00000128016	RNF162A; TIS11; G0S24; TTP; NUP475	"zinc finger protein 36, C3H type, homolog (mouse) [Source:HGNC Symbol;Acc:12862]"	Homo sapiens	Znf_CCCHx2	37	2
ZFP36L1	ENSG00000185650	RNF162B; Berg36; ERF1; TIS11B; cMG1	"zinc finger protein 36, C3H type-like 1 [Source:HGNC Symbol;Acc:1107]"	Homo sapiens	Znf_CCCHx2	1	5
ZFP36L2	ENSG00000152518	ERF2; RNF162C; TIS11D	"zinc finger protein 36, C3H type-like 2 [Source:HGNC Symbol;Acc:1108]"	Homo sapiens	Znf_CCCHx2	1	5
ZFR	ENSG00000056097		zinc finger RNA binding protein [Source:HGNC Symbol;Acc:17277]	Homo sapiens	Znf_C2H2x3	0	4
ZFR2	ENSG00000105278		zinc finger RNA binding protein 2 [Source:HGNC Symbol;Acc:29189]	Homo sapiens	Znf_C2H2x3	0	3
ZGPAT	ENSG00000197114	dJ583P15.3; MGC44880; FLJ14972; ZC3HDC9; ZC3H9; GPATC6; GPATCH6; ZIP	"zinc finger, CCCH-type with G patch domain [Source:HGNC Symbol;Acc:15948]"	Homo sapiens	Znf_CCCHx1	0	3
ZMAT5	ENSG00000100319		"zinc finger, matrin type 5 [Source:HGNC Symbol;Acc:28046]"	Homo sapiens	Znf_CCCHx1; Znf_U1-C	0	1
ZNF239	ENSG00000196793		zinc finger protein 239 [Source:HGNC Symbol;Acc:13031]	Homo sapiens	Znf_C2H2x8	2	0
ZNF638	ENSG00000075292	NP220; MGC26130; Zfp638	zinc finger protein 638 [Source:HGNC Symbol;Acc:17894]	Homo sapiens	Znf_C2H2x2; RRMx2	0	1
ZNF74	ENSG00000185252		zinc finger protein 74 [Source:HGNC Symbol;Acc:13144]	Homo sapiens	Znf_C2H2x12	2	0
ZRANB2	ENSG00000132485		"zinc finger, RAN-binding domain containing 2 [Source:HGNC Symbol;Acc:13058]"	Homo sapiens	Znf_RanBP2x2	1	0
ZRSR1	ENSG00000212643		"U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein 1 (U2(RNU2) small nuclear RNA auxiliary factor 1-like 1)(CCCH type zinc finger, RNA-binding motif and serine/arginine rich protein 1) [Source:UniProtKB/Swiss-Prot;Acc:Q15695]"	Homo sapiens	RRMx1; Znf_CCCHx1	0	4
ZRSR2	ENSG00000169249	U2AF1-RS2; URP	"zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2 [Source:HGNC Symbol;Acc:23019]"	Homo sapiens	RRMx1; Znf_CCCHx1	1	4
	ENSG00000005189		Putative RNA exonuclease NEF-sp (EC 3.1.-.-) [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]	Homo sapiens	RRMx2	0	1
	ENSG00000078687		Trinucleotide repeat-containing gene 6C protein [Source:UniProtKB/Swiss-Prot;Acc:Q9HCJ0]	Homo sapiens	RRMx1	0	3
	ENSG00000115128		Pre-mRNA branch site protein p14 (SF3B 14 kDa subunit) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y3B4]	Homo sapiens	RRMx1	0	3
	ENSG00000139675		Heterogeneous nuclear ribonucleoprotein A1-like protein 2 (hnRNP core protein A1-like protein 2) [Source:UniProtKB/Swiss-Prot;Acc:Q32P51]	Homo sapiens	RRMx2	0	10
	ENSG00000167281		Fox-1 homolog C [Source:UniProtKB/Swiss-Prot;Acc:A6NFN3]	Homo sapiens	RRMx1	0	4
	ENSG00000204392		U6 snRNA-associated Sm-like protein LSm2 (snRNP core Sm-like protein Sm-x5)(Small nuclear ribonuclear protein D homolog)(Protein G7b) [Source:UniProtKB/Swiss-Prot;Acc:Q9Y333]	Homo sapiens	LSmx1	0	6
	ENSG00000213250		Putative uncharacterized protein ENSP00000395989 [Source:UniProtKB/TrEMBL;Acc:C9JFH9]	Homo sapiens	RRMx2	0	0
	ENSG00000215042		Putative uncharacterized protein ENSP00000388079 Fragment [Source:UniProtKB/TrEMBL;Acc:C9JXI7]	Homo sapiens	RRMx3	0	0
	ENSG00000215492		Putative uncharacterized protein ENSP00000383298 [Source:UniProtKB/TrEMBL;Acc:C9JCD7]	Homo sapiens	RRMx2	0	10
	ENSG00000231942		Putative uncharacterized protein ENSP00000394145 Fragment [Source:UniProtKB/TrEMBL;Acc:C9JK19]	Homo sapiens	RRMx2	0	0
